Keyword,Type,Lesson,Relevant Code
FirebaseJobDispatcher setService,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setTag,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setRecurring,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setLifetime Lifetime.UNTIL_NEXT_BOOT,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setTrigger Trigger.executionWindow,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setReplaceCurrent,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setRetryStrategy RetryStrategy.DEFAULT_EXPONENTIAL,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher setConstraints Constraint.ON_UNMETERED_NETWORK / Constraint.DEVICE_CHARGING,java,UD.GDC.AD.11.23,N/A
FirebaseJobDispatcher build,java,UD.GDC.AD.11.23,N/A
GooglePlayServices,lesson,UD.GDC.AD.11.23,N/A
compile com.firebase:firebase-jobdispatcher,gradle,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
extends JobService,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
onStartJob,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
jobFinished,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
jobParameters,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
onStopJob,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
intent-filter com.firebase.jobdispatcher.ACTION_EXECUTE,manifest xml,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
synchronized method,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.31","UD.GDC.AD.T10.04, UD.GDC.AD.S10.02"
Job initialize,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.31","UD.GDC.AD.T10.04, UD.GDC.AD.S10.02"
@NonNull,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.30","UD.GDC.AD.T10.04, UD.GDC.AD.S10.01"
Driver,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
GooglePlayDriver,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher newJobBuilder,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setService,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setTag,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setRecurring,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setLifetime Lifetime.UNTIL_NEXT_BOOT,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setLifetime Lifetime.FOREVER,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setTrigger Trigger.executionWindow,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setReplaceCurrent,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setRetryStrategy RetryStrategy.DEFAULT_EXPONENTIAL,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setConstraints Constraint.ON_UNMETERED_NETWORK / Constraint.DEVICE_CHARGING,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher setConstraints Constraint.ON_ANY_NETWORK,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher build,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
FirebaseJobDispatcher schedule,java,"UD.GDC.AD.11.24, UD.GDC.AD.11.25, UD.GDC.AD.11.32","UD.GDC.AD.T10.04, UD.GDC.AD.S10.03"
intro to Broadcast Receivers,lesson,UD.GDC.AD.11.26,N/A
System Broadcast Intent,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.SCREEN_ON,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.MEDIA_MOUNTED,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.HEADSET_PLUG,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.BATTERY_LOW,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.DOWNLOAD_COMPLETE,lesson,UD.GDC.AD.11.26,N/A
android.intent.action.AUDI_BECOMING_NOISY,lesson,UD.GDC.AD.11.26,N/A
setImageResource,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
extends BroadcastReceiver,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
BroadcastReceiver onReceive,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
IntentFilter,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
IntentFilter addAction,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
Intent.ACTION_POWER_CONNECTED,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
Intent.ACTION_POWER_DISCONNECTED,java,UD.GDC.AD.11.27,UD.GDC.AD.T10.05
BroadcastReceiver registerReceiver,java,"UD.GDC.AD.11.27, UD.GDC.AD.11.30","UD.GDC.AD.T10.05, UD.GDC.AD.S10.01"
BroadcastReceiver unregisterReceiver,java,"UD.GDC.AD.11.27, UD.GDC.AD.11.30","UD.GDC.AD.T10.05, UD.GDC.AD.S10.01"
BatteryManager,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
BATTERY_SERVICE,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
BatteryManager isCharging,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
Intent.ACTION_BATTERY_CHANGED,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
BatteryManager.EXTRA_STATUS,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
BatteryManager.BATTERY_STATUS_CHARGING,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
BatteryManager.BATTERY_STATUS_FULL,java,UD.GDC.AD.11.28,UD.GDC.AD.T10.06
SQLite bulkInsert,java,UD.GDC.AD.11.30,UD.GDC.AD.S10.01
IntentService startService,java,UD.GDC.AD.11.30,UD.GDC.AD.S10.01
TimeUnit.HOURS.toSeconds,java,UD.GDC.AD.11.32,UD.GDC.AD.S10.03
ViewGroup,lesson,UD.GDC.AD.12.2,N/A
LinearLayout,lesson,UD.GDC.AD.12.2,N/A
RelativeLayout,lesson,UD.GDC.AD.12.2,N/A
GridLayout,lesson,UD.GDC.AD.12.2,N/A
wrap_content,lesson,UD.GDC.AD.12.2,N/A
match_parent,lesson,UD.GDC.AD.12.2,N/A
gravity,lesson,UD.GDC.AD.12.2,N/A
padding,lesson,UD.GDC.AD.12.2,N/A
margin,lesson,UD.GDC.AD.12.2,N/A
visibility,lesson,UD.GDC.AD.12.2,N/A
ConstraintLayout,lesson,"UD.GDC.AD.12.4, UD.GDC.AD.12.5",N/A
ConstraintLayout,java,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9, UD.GDC.AD.12.20, UD.GDC.AD.12.21","UD.GDC.AD.T11.01, UD.GDC.AD.S11.01"
compile com.android.support.constraint:constraint-layout dependency,gradle,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9, UD.GDC.AD.12.20, UD.GDC.AD.12.21","UD.GDC.AD.T11.01, UD.GDC.AD.S11.01"
tools:text,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
ImageView,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
android:background,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
import svg image,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
drawable,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
android:letterSpacing,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
constraint bias,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
mipmap,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
ConstraintLayout,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9",UD.GDC.AD.T11.01
constraint.Guideline,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.10",UD.GDC.AD.S11.02
bools,resource xml,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.10",UD.GDC.AD.S11.02
RecycleView Adapter getItemViewType,java,"UD.GDC.AD.12.6, UD.GDC.AD.12.7, UD.GDC.AD.12.8, UD.GDC.AD.12.9, UD.GDC.AD.12.20, UD.GDC.AD.12.21","UD.GDC.AD.T11.01, UD.GDC.AD.S11.02"
Hierarchy Viewer,lesson,UD.GDC.AD.12.10,N/A
Android Device Monitor,lesson,UD.GDC.AD.12.10,N/A
data binding,lesson,UD.GDC.AD.12.12,N/A
databinding.enabled,gradle,"UD.GDC.AD.12.12, UD.GDC.AD.12.13, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.02, UD.GDC.AD.S11.03"
layout root tag,resource xml,"UD.GDC.AD.12.12, UD.GDC.AD.12.13, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.02, UD.GDC.AD.S11.03"
ActivityMainBinding,java,"UD.GDC.AD.12.12, UD.GDC.AD.12.13, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.02, UD.GDC.AD.S11.03"
DataBindingUtil setContentView,java,"UD.GDC.AD.12.12, UD.GDC.AD.12.13, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.02, UD.GDC.AD.S11.03"
ActivityMainBinding setText,java,"UD.GDC.AD.12.12, UD.GDC.AD.12.13, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.02, UD.GDC.AD.S11.03"
formatter.format,java,"UD.GDC.AD.12.12, UD.GDC.AD.12.13",UD.GDC.AD.T11.02
TimeUnit.MINUTES.toHours,java,"UD.GDC.AD.12.12, UD.GDC.AD.12.13",UD.GDC.AD.T11.02
TimeUnit.HOURS.toMinutes,java,"UD.GDC.AD.12.12, UD.GDC.AD.12.13",UD.GDC.AD.T11.02
intro to accessibility & internationalization,lesson,"UD.GDC.AD.12.14, UD.GDC.AD.12.15",N/A
contentDescription,lesson,"UD.GDC.AD.12.14, UD.GDC.AD.12.15",N/A
localization,lesson,UD.GDC.AD.12.17,N/A
"responsive layout, landscape & portrait",resource xml,"UD.GDC.AD.12.18, UD.GDC.AD.12.19",UD.GDC.AD.T11.03
include layout tag,resource xml,"UD.GDC.AD.12.18, UD.GDC.AD.12.19, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.03, UD.GDC.AD.S11.03"
binding an include layout,java,"UD.GDC.AD.12.18, UD.GDC.AD.12.19, UD.GDC.AD.12.24, UD.GDC.AD.12.15","UD.GDC.AD.T11.03, UD.GDC.AD.S11.03"
intro to Android design principles,lesson,UD.GDC.AD.13.2,N/A
mockup,lesson,UD.GDC.AD.13.4,N/A
keyline,lesson,UD.GDC.AD.13.4,N/A
color guidelines,lesson,UD.GDC.AD.13.5,N/A
primary color colorPrimary,lesson,"UD.GDC.AD.13.5, UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
accent color colorAccent,lesson,"UD.GDC.AD.13.5, UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
font guidelines,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.22, UD.GDC.AD.13.23",UD.GDC.AD.S12.01
roboto font,lesson,UD.GDC.AD.13.8,N/A
font-family,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.22, UD.GDC.AD.13.23",UD.GDC.AD.S12.01
sans-serif font,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.22, UD.GDC.AD.13.23",UD.GDC.AD.S12.01
mdpi,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
hdpi,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
xhdpi,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
xxhdpi,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
xxxhdpi,lesson,"UD.GDC.AD.13.8, UD.GDC.AD.13.15",N/A
color resource,resource xml,"UD.GDC.AD.13.9, UD.GDC.AD.13.10",UD.GDC.AD.T12.01
android:fontFamily,resource xml,"UD.GDC.AD.13.9, UD.GDC.AD.13.10",UD.GDC.AD.T12.01
vectorDrawables.useSupportLibrary,gradle,UD.UFT.1,UD.GDC.AD.T10.01
style tag,resource xml,"UD.GDC.AD.13.11, UD.GDC.AD.13.12, UD.GDC.AD.13.13, UD.GDC.AD.13.14, UD.GDC.AD.13.28, UD.GDC.AD.13.29","UD.GDC.AD.T12.02, UD.GDC.AD.S12.02"
intro to designing for different screens,lesson,UD.GDC.AD.13.14,N/A
intro to screen density,lesson,UD.GDC.AD.13.15,N/A
intro to resource folder qualifiers,lesson,UD.GDC.AD.13.18,N/A
intro to sw (smallest width) resource qualifier,lesson,UD.GDC.AD.13.19,N/A
sw600dp,resource xml,"UD.GDC.AD.13.20, UD.GDC.AD.13.21",UD.GDC.AD.T12.03
touch selector,resource xml,"UD.GDC.AD.13.22, UD.GDC.AD.13.23, UD.GDC.AD.13.30, UD.GDC.AD.13.31","UD.GDC.AD.T12.04, UD.GDC.AD.S12.03"
touch selector tag,resource xml,"UD.GDC.AD.13.22, UD.GDC.AD.13.23, UD.GDC.AD.13.30, UD.GDC.AD.13.31","UD.GDC.AD.T12.04, UD.GDC.AD.S12.03"
touch selector android:state_pressed,resource xml,"UD.GDC.AD.13.22, UD.GDC.AD.13.23, UD.GDC.AD.13.30, UD.GDC.AD.13.31","UD.GDC.AD.T12.04, UD.GDC.AD.S12.03"
touch selector android:state_activated,resource xml,"UD.GDC.AD.13.22, UD.GDC.AD.13.23, UD.GDC.AD.13.30, UD.GDC.AD.13.31","UD.GDC.AD.T12.04, UD.GDC.AD.S12.03"
touch selector android:state_selected,resource xml,"UD.GDC.AD.13.22, UD.GDC.AD.13.23, UD.GDC.AD.13.30, UD.GDC.AD.13.31","UD.GDC.AD.T12.04, UD.GDC.AD.S12.03"
touch selector android:state_focused,resource xml,"UD.GDC.AD.13.30, UD.GDC.AD.13.31",UD.GDC.AD.S12.03
touch selector android:state_enabled,resource xml,"UD.GDC.AD.13.30, UD.GDC.AD.13.31",UD.GDC.AD.S12.03
touch selector android:state_window_focused,resource xml,"UD.GDC.AD.13.30, UD.GDC.AD.13.31",UD.GDC.AD.S12.03
touch selector android:background,resource xml,"UD.GDC.AD.13.22, UD.GDC.AD.13.23, UD.GDC.AD.13.30, UD.GDC.AD.13.31","UD.GDC.AD.T12.04, UD.GDC.AD.S12.03"
colorPrimaryLight,resource xml,"UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
colorPrimaryDark,resource xml,"UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
primary_text,resource xml,"UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
secondary_text,resource xml,"UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
dimens @dimen,resource xml,"UD.GDC.AD.13.26, UD.GDC.AD.13.27",UD.GDC.AD.S12.01
AppTheme,resource xml,"UD.GDC.AD.13.28, UD.GDC.AD.13.29",UD.GDC.AD.S12.02
actionBarStyle,resource xml,"UD.GDC.AD.13.28, UD.GDC.AD.13.29",UD.GDC.AD.S12.02
style @style,resource xml,"UD.GDC.AD.13.28, UD.GDC.AD.13.29",UD.GDC.AD.S12.02
landscape & portrait layout resource files,resource xml,"UD.GDC.AD.13.33, UD.GDC.AD.13.34",UD.GDC.AD.S12.04
SQLite database with mutliple tables,java,UD.UFT.2,UD.UFT.GH.1
contentResolver query contains like,java,SO.1,N/A
intro to Firebase,lesson,"UD.FIW.1.2, UD.FIW.1.3",N/A
setting up a Firebase project,lesson,"UD.FIW.1.7, UD.FIW.1.8",N/A
setting debug certificate,lesson,UD.FIW.1.8,N/A
classpath com.google.gms:google-services,gradle,"UD.FIW.1.8, UD.FIW.1.12",UD.FIW.1.1
google-services.json,lesson,UD.FIW.1.8,N/A
apply plugin com.google.gms.google-services,gradle,"UD.FIW.1.8, UD.FIW.1.12",UD.FIW.1.1
Firebase database structure,lesson,UD.FIW.1.15,N/A
com.google.firebase:firebase-database,gradle,UD.FIW.1.17,UD.FIW.1.1
FirebaseDatabase,java,UD.FIW.1.17,UD.FIW.1.1
DatabaseReference,java,UD.FIW.1.17,UD.FIW.1.1
FirebaseDatabase.getInstance,java,UD.FIW.1.17,UD.FIW.1.1
DatabaseReference getReference child,java,UD.FIW.1.17,UD.FIW.1.1
FirebaseDatabase preparing keys for storage,java,UD.FIW.1.18,UD.FIW.1.1
FirebaseDatabase push setValue,java,UD.FIW.1.19,UD.FIW.1.1
FirebaseDatabase user authentication read write,json,UD.FIW.1.20,N/A
FirebaseDatabase auth != null,json,UD.FIW.1.20,N/A
FirebaseDatabase in the console,json,UD.FIW.1.20,N/A
intro to FirebaseDatabase listeners,lesson,UD.FIW.1.21,N/A
FirebaseDatabase ChildEventListener,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener onChildAdded,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener onChildChanged,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener onChildRemoved,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener onChildRemoved,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener onChildMoved,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener onCancelled,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase addChildEventListener,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase ChildEventListener DataSnapshot getValue,java,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase user authentication validate,json,UD.FIW.1.22,UD.FIW.1.1
FirebaseDatabase security variable now,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable root,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable data,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable $variables,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth email,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth email_verified,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth name,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth sub,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth firebase.identities,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
FirebaseDatabase security variable auth firebase.sign_in_provider,lesson,"UD.FIW.1.26, UD.FIW.1.27",N/A
intro to FirebaseUI authentication,lesson,"UD.FIW.1.30, UD.FIW.1.30",N/A
FirebaseUI authentication dependencies,gradle,UD.FIW.1.33,UD.FIW.1.1
Firebase authentication AuthStateListener,java,"UD.FIW.1.34, UD.FIW.1.35",UD.FIW.1.1
Firebase authentication FirebaseAuth.getInstance,java,UD.FIW.1.34,UD.FIW.1.1
Firebase authentication addAuthStateListener,java,"UD.FIW.1.34, UD.FIW.1.35",UD.FIW.1.1
Firebase authentication removeAuthStateListener,java,"UD.FIW.1.34, UD.FIW.1.35",UD.FIW.1.1
Firebase authentication FirebaseUser getDisplayName,java,"UD.FIW.1.34, UD.FIW.1.35",UD.FIW.1.1
Firebase authentication FirebaseAuth.getCurrentUser,java,UD.FIW.1.34,UD.FIW.1.1
Firebase authentication AuthUI.IdpConfig,java,UD.FIW.1.34,UD.FIW.1.1
Firebase authentication setIsSmartLockEnabled,java,UD.FIW.1.34,UD.FIW.1.1
Firebase authentication RC_SIGN_IN,java,UD.FIW.1.34,UD.FIW.1.1
onActivityResult requestCode,java,UD.FIW.1.36,UD.FIW.1.1
onActivityResult resultCode,java,UD.FIW.1.36,UD.FIW.1.1
onActivityResult finish,java,UD.FIW.1.36,UD.FIW.1.1
onActivityResult RESULT_OK,java,UD.FIW.1.36,UD.FIW.1.1
onActivityResult RESULT_CANCELED,java,UD.FIW.1.36,UD.FIW.1.1
Firebase authentication AuthUI getInstance signOut,java,UD.FIW.1.37,UD.FIW.1.1